marginalCost,unitSalePrice,PAR
6,671,34.876690662024
4,15,34.876690662024
4,6,34.876690662024
6,91,34.876690662024
5,195,34.876690662024
6,74,34.876690662024
6,26,34.876690662024
3,22,34.876690662024
2,37,34.876690662024
3,94,34.876690662024
4,11,34.876690662024
2,52,34.876690662024
3,93,34.876690662024
5,288,34.876690662024
6,0,34.876690662024
2,378,34.876690662024
3,108,34.876690662024
5,133,34.876690662024
6,96,34.876690662024
2,29,34.876690662024
3,661,34.876690662024
4,66,34.876690662024
3,35,34.876690662024
2,1,34.876690662024
3,170,34.876690662024
2,213,34.876690662024
6,23,34.876690662024
4,41,34.876690662024
5,66,34.876690662024
1,77,34.876690662024
5,144,34.876690662024
4,14,34.876690662024
3,44,34.876690662024
4,29,34.876690662024
4,70,34.876690662024
1,129,34.876690662024
3,827,34.876690662024
4,82,34.876690662024
5,96,34.876690662024
4,6,34.876690662024
6,148,34.876690662024
2,368,34.876690662024
4,69,34.876690662024
1,54,34.876690662024
3,253,34.876690662024
1,331,34.876690662024
5,72,34.876690662024
6,7,34.876690662024
6,8,34.876690662024
5,21,34.876690662024
